,0,0.1
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,1.0
46,0,1.0
47,0,1.0
48,0,1.0
49,0,1.0
50,0,1.0
51,0,1.0
52,0,1.0
53,0,1.0
54,0,1.0
55,0,1.0
56,0,1.0
57,0,1.0
58,0,1.0
59,0,1.0
60,0,1.0
61,0,1.0
62,0,1.0
63,0,1.0
64,0,1.0
65,0,1.0
66,0,1.0
67,0,1.0
68,0,1.0
69,0,1.0
70,0,1.0
71,0,1.0
72,0,1.0
73,0,1.0
74,0,1.0
75,0,1.0
76,0,1.0
77,0,1.0
78,0,1.0
79,0,1.0
80,0,1.0
81,0,1.0
82,0,1.0
83,0,1.0
84,0,1.0
85,0,1.0
86,0,1.0
87,0,1.0
88,0,1.0
89,0,1.0
90,0,1.0
91,0,1.0
92,0,1.0
93,0,1.0
94,0,1.0
95,0,1.0
96,0,1.0
97,0,1.0
98,0,1.0
99,0,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,0,1.0
106,0,1.0
107,0,1.0
108,0,1.0
109,0,1.0
110,0,1.0
111,0,1.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,0,1.0
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,0,1.0
123,0,1.0
124,0,1.0
125,0,1.0
126,0,1.0
127,0,1.0
128,0,1.0
129,0,1.0
130,0,1.0
131,0,1.0
132,0,1.0
133,0,1.0
134,0,1.0
135,0,1.0
136,0,1.0
137,0,1.0
138,0,1.0
139,0,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,2.0
146,0,2.0
147,0,2.0
148,0,2.0
149,0,2.0
150,0,2.0
151,0,2.0
152,0,2.0
153,0,2.0
154,0,2.0
155,0,2.0
156,0,2.0
157,0,2.0
158,0,2.0
159,0,2.0
160,0,2.0
161,0,2.0
162,0,2.0
163,0,2.0
164,0,2.0
165,0,2.0
166,0,2.0
167,0,2.0
168,0,2.0
169,0,2.0
170,0,2.0
171,0,2.0
172,0,2.0
173,0,2.0
174,0,2.0
175,0,2.0
176,0,2.0
177,0,2.0
178,0,2.0
179,0,2.0
180,171,2.0
181,362,2.0
182,496,2.0
183,586,2.0
184,614,2.0
185,597,2.0
186,555,2.0
187,466,2.0
188,374,2.0
189,272,2.0
190,179,2.0
191,95,2.0
192,29,2.0
193,0,2.0
194,0,2.0
195,0,2.0
196,0,2.0
197,1,2.0
198,18,2.0
199,39,2.0
200,49,2.0
201,59,2.0
202,59,2.0
203,58,2.0
204,48,2.0
205,34,2.0
206,17,2.0
207,0,2.0
208,0,2.0
209,0,2.0
210,0,2.0
211,0,2.0
212,0,2.0
213,0,2.0
214,0,2.0
215,0,2.0
216,0,2.0
217,0,2.0
218,0,2.0
219,0,2.0
220,0,2.0
221,0,2.0
222,0,2.0
223,0,2.0
224,0,2.0
225,0,2.0
226,0,2.0
227,0,2.0
228,0,2.0
229,0,2.0
230,0,2.0
231,0,2.0
232,0,2.0
233,0,2.0
234,0,2.0
